Reporter Identifier	VALUE
ILMN_1761804	14.07
ILMN_1681374	6.701
ILMN_1736700	13.24
ILMN_2251253	6.702
ILMN_1741148	13.04
ILMN_1747716	7.183
ILMN_1755974	12.35
ILMN_1718093	8.682
ILMN_1730304	7.35
ILMN_1666325	7.92
ILMN_1660856	7.899
ILMN_2120982	7.569
ILMN_1743995	7.077
ILMN_2147503	8.481
ILMN_1761456	11.04
ILMN_1743635	8.789
ILMN_2191822	8.218
ILMN_1737945	6.872
ILMN_1722688	7.341
ILMN_1711886	11.38
ILMN_1806845	6.65
ILMN_1664449	11.15
ILMN_1771411	10.12
ILMN_2365686	10.95
ILMN_2271014	6.973
ILMN_1685413	11.55
ILMN_1732809	9.701
ILMN_1753135	6.625
ILMN_2276750	6.712
ILMN_1758038	8.332
ILMN_2375973	8.325
ILMN_1690252	9.613
ILMN_2134062	9.645
ILMN_1805673	7.891
ILMN_1657283	13.79
ILMN_1808792	9.285
ILMN_1761764	9.872
ILMN_1779190	7.471
ILMN_1796946	6.543
ILMN_1784583	6.362
ILMN_1681046	6.424
ILMN_1709474	6.958
ILMN_1713731	6.506
ILMN_1692332	6.566
ILMN_2137544	6.491
ILMN_1735987	6.552
ILMN_1676042	8.527
ILMN_1783443	8.597
ILMN_1729320	6.639
ILMN_2403534	7.698
ILMN_2276904	6.79
ILMN_1751975	6.539
ILMN_2393149	6.465
ILMN_1680996	6.786
ILMN_1792150	6.393
ILMN_1651466	6.231
ILMN_1797875	6.42
ILMN_1678255	6.727
ILMN_1752669	6.495
ILMN_2078697	7.071
ILMN_1811238	6.358
ILMN_1734630	6.498
ILMN_1701603	6.563
ILMN_1693789	12.08
ILMN_1801851	6.458
ILMN_1750256	9.716
ILMN_1700596	6.484
ILMN_1702322	6.306
ILMN_1690636	6.486
ILMN_1792449	6.329
ILMN_1765674	6.693
ILMN_1739942	11.27
ILMN_1787314	8.496
ILMN_1663897	6.535
ILMN_1701386	10.77
ILMN_1800958	10.01
ILMN_1760889	7.371
ILMN_2191902	6.455
ILMN_1729325	6.632
ILMN_1803384	6.367
ILMN_1797432	7.03
ILMN_1794728	6.581
ILMN_1715988	6.7
ILMN_1713315	6.599
ILMN_2194619	6.484
ILMN_1759670	11.23
ILMN_2367172	9.799
ILMN_1792741	9.01
ILMN_1794384	6.546
ILMN_1688019	6.353
ILMN_1751092	6.311
ILMN_1697611	6.551
ILMN_1695446	6.831
ILMN_1662681	6.918
ILMN_1788462	13.73
ILMN_1667994	12.73
ILMN_1788239	6.334
ILMN_1695759	8.91
ILMN_2397406	6.35
ILMN_1727258	6.44
ILMN_1723116	9.739
ILMN_1666258	8.052
ILMN_1660995	6.755
ILMN_1736412	9.154
ILMN_1778723	6.729
ILMN_1765460	6.881
ILMN_1725896	6.938
ILMN_1738233	6.898
ILMN_1670506	7.764
ILMN_1779374	10.19
ILMN_2394242	8.563
ILMN_1727023	8.323
ILMN_1683901	6.2
ILMN_1750880	6.64
ILMN_1792409	7.98
ILMN_1748141	6.458
ILMN_1778788	6.399
ILMN_1759312	6.411
ILMN_1701589	6.432
ILMN_1696830	6.293
ILMN_1786899	6.444
ILMN_1774447	6.722
ILMN_1660854	6.711
ILMN_1665307	6.382
ILMN_1731223	6.551
ILMN_1685834	6.7
ILMN_1725297	6.595
ILMN_1665331	7.613
ILMN_1713927	6.425
ILMN_1797796	6.45
ILMN_2294762	11.02
ILMN_2408219	6.428
ILMN_2094262	6.256
ILMN_2094261	6.423
ILMN_1726327	9.438
ILMN_1663313	14.04
ILMN_1719031	6.221
ILMN_2131123	6.396
ILMN_1801303	6.505
ILMN_1751102	6.515
ILMN_1694882	6.388
ILMN_2073157	6.487
ILMN_1785742	6.722
ILMN_2309549	7.475
ILMN_1801606	12.5
ILMN_1664435	6.458
ILMN_1804812	10.07
ILMN_1659553	7.993
ILMN_1770378	8.858
ILMN_2343563	9.594
ILMN_1726281	6.375
ILMN_1753773	6.431
ILMN_1722102	10.64
ILMN_1674988	6.566
ILMN_1793894	13.17
ILMN_1733096	6.703
ILMN_1813243	7.247
ILMN_1802973	9.535
ILMN_1723177	12.55
ILMN_2199284	8.641
ILMN_1696974	8.24
ILMN_1760727	9.587
ILMN_1665871	8.503
ILMN_1736340	10.62
ILMN_1677723	6.552
ILMN_2086890	6.729
ILMN_1774207	7.441
ILMN_1758443	6.382
ILMN_1669773	6.624
ILMN_2145501	6.153
ILMN_1772612	6.712
ILMN_1695193	6.662
ILMN_2143220	6.516
ILMN_1674376	7.116
ILMN_2386444	6.424
ILMN_1707727	7.272
